% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.004299999999999998      5.955013551104683E-10    4.432719115419519E-10    2.374153848631875E-10    8.154474706994161E-11
0.004333333333333332      5.909734227177806E-10    4.4207089485984454E-10   2.372320856740876E-10    8.153295169998482E-11
0.004366666666666665      5.86475872760155E-10     4.408656981181456E-10    2.370475768981926E-10    8.152106761171574E-11
0.0043999999999999985     5.820086614513745E-10    4.396563186278237E-10    2.368618584436908E-10    8.150909480409124E-11
0.004433333333333332      5.775738831040991E-10    4.384427742618393E-10    2.366749179266571E-10    8.149703277154732E-11
0.004466666666666665      5.731704496517723E-10    4.372253202932553E-10    2.3648678064958587E-10   8.148488216475167E-11
0.004499999999999998      5.687983186396169E-10    4.360039539849646E-10    2.3629744651837567E-10   8.1472642982635E-11
0.004533333333333331      5.64459489284207E-10     4.347787033222295E-10    2.3610690383946766E-10   8.146031473363691E-11
0.004566666666666664      5.601527984537016E-10    4.335498121247766E-10    2.3591517743145327E-10   8.144789805762025E-11
0.004599999999999998      5.55878204988308E-10     4.323172776096219E-10    2.3572226719824333E-10   8.14353929534931E-11
0.004633333333333331      5.516376526912124E-10    4.3108113978207036E-10   2.355281621125576E-10    8.14227989403711E-11
0.0046666666666666645     5.474298502849509E-10    4.2984163057093553E-10   2.3533288678457526E-10   8.141011665811571E-11
0.004699999999999998      5.432547580561289E-10    4.2859874715716466E-10   2.3513644111642896E-10   8.139734610561318E-11
0.004733333333333331      5.39114247672154E-10     4.273525342489879E-10    2.3493881417720563E-10   8.138448679886052E-11
0.004766666666666664      5.350069660627332E-10    4.261032171067968E-10    2.3474003058045806E-10   8.137153938051154E-11
0.004799999999999997      5.309328750566427E-10    4.248507928703665E-10    2.345400902261792E-10    8.135850384942757E-11
0.00483333333333333       5.26893757296105E-10     4.2359531134154153E-10   2.3433898243279804E-10   8.13453797241122E-11
0.004866666666666663      5.228882185221642E-10    4.2233699073121447E-10   2.341367316921375E-10    8.133216764522601E-11
0.004899999999999996      5.18916222070579E-10     4.2107582813750136E-10   2.339333379021951E-10    8.131886761160748E-11
0.00493333333333333       5.149794843857206E-10    4.19811881357398E-10     2.3372879079766915E-10   8.130547914717117E-11
0.004966666666666663      5.110765117982195E-10    4.1854535938947503E-10   2.335231149295287E-10    8.129200289952758E-11
0.004999999999999996      5.072072692563646E-10    4.172762593004858E-10    2.3331631019399503E-10   8.127843886749314E-11
0.00503333333333333       5.033733984369325E-10    4.1600463980793E-10      2.331083661688723E-10    8.12647865667052E-11
0.005066666666666662      4.995733761974802E-10    4.1473070555824963E-10   2.328993075464635E-10    8.125104664971365E-11
