% Model:              etm_deformation.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 14 2025, 14:53
% Dimension:          2
% Nodes:              308
% Expressions:        1
% Description:        Line
% cpl1x                   cpl1y                    Color
0.09999999999999998       -0.07368645777414853     8.872861898215968E-20
0.09999999999999998       -0.07305838132453628     9.020420937464362E-20
0.1                       -0.07070228021869568     9.571186931997985E-20
0.09999999999999998       -0.06863932632991818     1.0128860026868331E-19
0.09999999999999998       -0.06780594105166313     1.0346644527246631E-19
0.09999999999999998       -0.06685413113173727     1.0629192127867394E-19
0.09999999999999999       -0.06490960188463056     1.1188946961035506E-19
0.1                       -0.05748754502928306     1.3903542704198157E-19
0.1                       -0.058264906307719515    1.356163451860647E-19
0.1                       -0.05937401415643602     1.314098337810257E-19
0.09999999999999999       -0.06158725409617504     1.2284469969564588E-19
0.1                       -0.0631384892001671      1.1778529535740446E-19
0.1                       -0.04805583939778513     1.8809428644031835E-19
0.1                       -0.046109692539101355    2.0051483472255447E-19
0.1                       -0.049098933920863244    1.813061248345678E-19
0.1                       -0.050512946061545105    1.7329902484788104E-19
0.1                       -0.04285827479982604     2.2583053558755863E-19
0.10000000000000002       -0.043547186043041086    2.1988089026967155E-19
0.1                       -0.04421664121235164     2.149007512219087E-19
0.1                       -0.038622122795099224    2.6429036666939743E-19
0.1                       -0.03837558373747995     2.666006301916649E-19
0.1                       -0.040965002469799894    2.4181232955100086E-19
0.1                       -0.03812238707074283     2.694405276575691E-19
0.1                       -0.03542242101726801     3.0004763426010084E-19
0.1                       -0.03377184084189749     3.2275030579836287E-19
0.1                       -0.03260137454071863     3.3839285180275774E-19
0.1                       -0.03139623382319707     3.573723728265012E-19
0.1                       -0.02994774045081411     3.798662243846768E-19
0.09999999999999999       -0.027271859476774       4.329361557443575E-19
0.1                       -0.027340883156146377    4.3162589982846615E-19
0.10000000000000002       -0.02724553819204755     4.335430858189651E-19
0.10000000000000002       -0.023565869874044906    5.253521802441529E-19
0.1                       -0.02097519714420465     6.050956555467346E-19
0.1                       -0.0241258634216689      5.088603983159307E-19
0.1                       -0.016237639632357977    8.302429545171655E-19
0.1                       -0.018373609717981153    7.133106479849338E-19
0.09999999999999999       -0.019893305165531814    6.484121785332872E-19
0.1                       -0.054780412231444385    1.5072876408116759E-19
0.1                       -0.051985677085928335    1.647889578458638E-19
0.1                       -0.05279773292446467     1.6076172296591342E-19
0.09999999999999999       0.012040551985293167     1.1828332719963528E-18
0.09999999999999999       0.011690671030510061     1.2221847163328357E-18
0.1                       -0.01579104838514836     8.568844526150481E-19
0.1                       -0.014607797106668308    9.537081379642505E-19
0.1                       -0.013295767234527914    1.0552448780792311E-18
0.1                       -0.0053876541130279      2.912784754182712E-18
0.1                       -0.007291714683227415    2.3030927983454028E-18
0.1                       -0.008486751179098058    1.8943058213944E-18
0.1                       -0.008038972523418952    2.0068896361125113E-18
0.10000000000000002       -0.012690160760899684    1.122659063563342E-18
0.1                       -0.010667369878973435    1.3477322336646746E-18
0.1                       -0.004542966485446512    3.657543014515963E-18
0.1                       -0.0010969900267448708   7.19224730605998E-18
0.1                       -0.0029358281015781293   5.700447908335673E-18
0.1                       0.00234898643195677      6.2074212766628E-18
0.1                       -1.939362655588279E-4    7.256466067770139E-18
0.1                       0.0025479555704604737    5.979178307083421E-18
0.1                       0.004957140569759853     2.9840137389562407E-18
0.1                       0.009593912814047522     1.5484255351156525E-18
0.1                       0.008687421134146717     1.7288859197307513E-18
0.1                       0.007275526691903686     2.1412022212949362E-18
0.1                       0.005684171237783371     2.6650495891383473E-18
