% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 16 2026, 13:58
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0.006933333333333317      3.0809932324594577E-10   3.0871109002539E-10      3.097564546984593E-10
0.00696666666666665       3.064682325499464E-10    3.0707116015563884E-10   3.081011617536159E-10
0.006999999999999983      3.0485279613511724E-10   3.0544705583700124E-10   3.0646199857633057E-10
0.007033333333333316      3.03252757667717E-10     3.038385165754116E-10    3.048386971118343E-10
0.007066666666666649      3.0166771569939347E-10   3.0224513311432563E-10   3.032308338574573E-10
0.007099999999999982      3.000976700990429E-10    3.006669053023702E-10    3.0163840862303974E-10
0.007133333333333315      2.9854238239957097E-10   2.9910359093686616E-10   3.000611724381037E-10
0.0071666666666666485     2.970014684900187E-10    2.9755479865935245E-10   2.984987207580453E-10
0.007199999999999982      2.954749282444914E-10    2.9602052832516115E-10   2.9695105340243764E-10
0.007233333333333315      2.9396253667471887E-10   2.9450055153500013E-10   2.95417935807008E-10
0.007266666666666648      2.9246393308178635E-10   2.9299450096545717E-10   2.9389898862802907E-10
0.007299999999999981      2.909791173452656E-10    2.9150237647873497E-10   2.9239421169476057E-10
0.007333333333333314      2.895078719414376E-10    2.900239573159194E-10    2.9090337841437853E-10
0.007366666666666647      2.880498598359161E-10    2.885589004381996E-10    2.894261348801056E-10
0.00739999999999998       2.866050809123193E-10    2.8710720571304045E-10   2.8796248092889864E-10
0.0074333333333333135     2.851733254472242E-10    2.856686603659186E-10    2.865121982969976E-10
0.007466666666666647      2.837542773576135E-10    2.84242942854622E-10     2.850749555848802E-10
0.00749999999999998       2.823479365316205E-10    2.828300530522787E-10    2.8365075263744696E-10
0.007533333333333313      2.809540999701722E-10    2.8142978506530907E-10   2.8223937836250765E-10
0.007566666666666646      2.795724736740188E-10    2.8004183995637405E-10   2.8084052492733E-10
0.007599999999999979      2.7820305753554587E-10   2.786662176039096E-10    2.794541921842084E-10
0.007633333333333312      2.768456560282873E-10    2.7730271975061025E-10   2.78080176980665E-10
0.007666666666666645      2.754999922939293E-10    2.7595106502184775E-10   2.7671818982456156E-10
0.007699999999999979      2.741660662281315E-10    2.746112533002602E-10    2.7536823057422395E-10
0.007733333333333313      2.728436932269666E-10    2.732830974722018E-10    2.7403010762666466E-10
0.007766666666666646      2.7153260702992135E-10   2.719663270602929E-10    2.7270354294139077E-10
0.007799999999999979      2.702328075360478E-10    2.706609419514281E-10    2.7138853638267786E-10
0.00783333333333331       2.689441241589378E-10    2.693667693280358E-10    2.7008491114967514E-10
0.007866666666666643      2.676663012211681E-10    2.680835495532554E-10    2.6879240051856335E-10
0.007899999999999976      2.6639933862565574E-10   2.668112825186782E-10    2.6751100435993154E-10
0.00793333333333331       2.651430770675585E-10    2.6554980689478234E-10   2.6624055773619497E-10
0.007966666666666643      2.638972699714029E-10    2.642988723864519E-10    2.6498080370751666E-10
0.007999999999999976      2.6266191724311633E-10   2.6305847888902077E-10   2.637317421496485E-10
0.008033333333333309      2.614368713357127E-10    2.6182847704718E-10      2.6249322049152816E-10
0.008066666666666642      2.602218936603448E-10    2.6060862476616604E-10   2.6126499038730564E-10
0.008099999999999975      2.590169841265449E-10    2.593989219456226E-10    2.600470517184004E-10
0.008133333333333308      2.5782200345933406E-10   2.581992276586052E-10    2.5883926062492267E-10
0.008166666666666642      2.5663672600203666E-10   2.5700931300955304E-10   2.5764138244694806E-10
0.008199999999999975      2.5546115166780965E-10   2.5582917790239637E-10   2.564534170714505E-10
0.008233333333333308      2.5429514435182926E-10   2.546586846384713E-10    2.552752239742385E-10
0.008266666666666641      2.53138491675138E-10     2.534976178754055E-10    2.5410658254781563E-10
0.008299999999999974      2.519911935530486E-10    2.5234597751984063E-10   2.529474926829341E-10
0.008333333333333307      2.5085312123833654E-10   2.512036333547596E-10    2.5179782156146213E-10
0.00836666666666664       2.497240704451788E-10    2.500703783195191E-10    2.5065735720087206E-10
0.008399999999999973      2.486040410915032E-10    2.489462123239118E-10    2.495260994960897E-10
0.008433333333333307      2.4749291127995346E-10   2.478310121201197E-10    2.4840392281291047E-10
0.00846666666666664       2.463904868801241E-10    2.4672458099850294E-10   2.4729062587389075E-10
0.008499999999999973      2.452967678127106E-10    2.456269188721325E-10    2.4618620857820285E-10
0.008533333333333306      2.4421163776121204E-10   2.44537908162449E-10     2.4509055112027867E-10
0.008566666666666639      2.4313491068821217E-10   2.434573604223512E-10    2.440034607919508E-10
0.008599999999999972      2.4206658651653495E-10   2.423852755674907E-10    2.429249374958295E-10
0.008633333333333305      2.4100655639686785E-10   2.4132154360301076E-10   2.4185486921899765E-10
0.008666666666666639      2.3995463984782025E-10   2.4026598176586287E-10   2.407930691694235E-10
0.008699999999999972      2.389108367945242E-10    2.39218589974436E-10     2.3973953725326495E-10
0.008733333333333305      2.3787504421302715E-10   2.3817926415010897E-10   2.3869416753626973E-10
0.008766666666666638      2.3684709062800527E-10   2.371478306982954E-10    2.376567826868069E-10
0.008799999999999971      2.3582697596690503E-10   2.361242895401023E-10    2.3662738261451117E-10
0.008833333333333304      2.3481459999660986E-10   2.351085394274721E-10    2.3560586428751027E-10
0.008866666666666637      2.338098006767921E-10    2.3410041636939206E-10   2.3459206027973675E-10
0.00889999999999997       2.328125779365201E-10    2.330999202889449E-10    2.335859705034657E-10
0.008933333333333304      2.318228362214016E-10    2.3210695468773781E-10   2.325874968034118E-10
0.008966666666666637      2.3084041916532698E-10   2.3112136136180293E-10   2.315964777435224E-10
0.00899999999999997       2.2986532669943108E-10   2.3014314023663616E-10   2.3061291323913343E-10
